Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
11553130,"Fruit smoothie juice drink, with dairy",Smoothies drinks,Beverage,65,0.86,15.05,0.14,0.9,12.68,2,0.108,0.0,5.2,0.0,0.03
42403010,"Coconut water, unsweetened",Fruit drinks,Beverage,18,0.22,4.24,0.0,0.0,3.92,0,0.0,0.0,9.9,0.0,0.0
42404010,"Coconut water, sweetened",Fruit drinks,Beverage,37,0.21,9.07,0.02,0.0,8.78,0,0.0,0.0,9.4,0.0,0.0
61201010,"Grapefruit juice, 100%, freshly squeezed",Fruit drinks,Beverage,39,0.5,9.2,0.1,0.1,9.1,1,0.044,0.0,38.0,0.0,0.22
61201220,"Grapefruit juice, 100%, canned, bottled or in a carton",Fruit drinks,Beverage,37,0.55,7.59,0.7,0.2,7.72,2,0.0,0.0,39.4,0.0,0.22
61201225,"Grapefruit juice, 100%, with calcium added",Fruit drinks,Beverage,39,0.51,7.74,0.68,0.3,7.96,16,0.044,0.0,22.2,0.0,0.2
61210010,"Orange juice, 100%,  freshly squeezed",Fruit drinks,Beverage,45,0.7,10.4,0.2,0.2,8.4,10,0.04,0.0,50.0,0.0,0.04
61210220,"Orange juice, 100%, canned, bottled or in a carton",Fruit drinks,Beverage,49,0.68,11.54,0.12,0.3,8.31,2,0.076,0.0,33.6,0.0,0.2
61210250,"Orange juice, 100%, with calcium added, canned, bottled or in a carton",Fruit drinks,Beverage,47,0.68,11.27,0.12,0.3,8.31,2,0.076,0.0,33.6,0.6,0.2
61213220,"Tangerine juice, 100%",Fruit drinks,Beverage,43,0.5,10.1,0.2,0.2,9.9,12,0.042,0.0,29.4,0.0,0.13
61213800,"Fruit juice blend, citrus, 100% juice",Fruit drinks,Beverage,51,0.41,12.2,0.08,0.2,10.57,1,0.061,0.0,40.7,0.0,0.07
61213900,"Fruit juice blend, citrus, 100% juice, with calcium added",Fruit drinks,Beverage,47,0.68,11.27,0.12,0.3,8.31,2,0.076,0.0,33.6,0.0,0.2
64100110,"Fruit juice blend, 100% juice",Fruit drinks,Beverage,50,0.16,12.46,0.12,0.2,10.92,0,0.021,0.0,28.2,0.0,0.01
64100200,"Cranberry juice blend, 100% juice",Fruit drinks,Beverage,50,0.16,12.46,0.12,0.2,10.92,0,0.021,0.0,28.2,0.0,0.01
64100220,"Cranberry juice blend, 100% juice, with calcium added",Fruit drinks,Beverage,45,0.27,10.91,0.12,0.1,9.8,1,0.018000000000000002,0.0,31.5,0.0,0.01
64101010,Apple cider,Fruit drinks,Beverage,46,0.1,11.3,0.13,0.2,9.62,0,0.018000000000000002,0.0,0.9,0.0,0.01
64104010,"Apple juice, 100%",Fruit drinks,Beverage,46,0.1,11.3,0.13,0.2,9.62,0,0.018000000000000002,0.0,10.3,0.0,0.01
64104030,"Apple juice, 100%, with calcium added",Fruit drinks,Beverage,48,0.12,11.49,0.17,0.3,9.47,0,0.018000000000000002,0.0,30.3,0.0,0.01
64104600,"Blackberry juice, 100%",Fruit drinks,Beverage,38,0.3,7.8,0.6,0.1,7.7,6,0.021,0.0,11.3,0.0,0.9
64104610,Blueberry juice,Fruit drinks,Beverage,37,0.48,9.42,0.21,1.6,6.47,2,0.034,0.0,6.3,0.0,0.37
64105400,"Cranberry juice, 100%, not a blend",Fruit drinks,Beverage,46,0.39,12.2,0.13,0.1,12.1,2,0.052000000000000005,0.0,9.3,0.0,1.2
64124020,"Pineapple juice, 100%",Fruit drinks,Beverage,53,0.36,12.87,0.12,0.2,9.98,0,0.1,0.0,43.8,0.0,0.02
64126000,"Pomegranate juice, 100%",Fruit drinks,Beverage,54,0.15,13.13,0.29,0.1,12.65,0,0.04,0.0,0.1,0.0,0.38
64132500,"Strawberry juice, 100%",Fruit drinks,Beverage,38,0.3,7.8,0.6,0.1,7.7,6,0.021,0.0,11.3,0.0,0.9
64133100,"Watermelon juice, 100%",Fruit drinks,Beverage,30,0.61,7.55,0.15,0.4,6.2,28,0.045,0.0,8.1,0.0,0.05
64134015,"Fruit smoothie, with whole fruit, no dairy",Smoothies drinks,Beverage,53,0.64,13.11,0.27,1.7,8.2,2,0.113,0.0,23.9,0.1,0.27
64134020,"Fruit smoothie, with whole fruit, no dairy, added protein",Smoothies drinks,Beverage,75,6.26,12.62,0.37,1.8,7.6,2,0.149,0.18,22.1,0.1,0.25
64134025,"Fruit smoothie, with whole fruit, non-dairy",Smoothies drinks,Beverage,58,1.47,11.73,0.95,1.3,4.97,23,0.071,0.08,9.1,0.3,0.72
64134030,"Fruit smoothie juice drink, no dairy",Smoothies drinks,Beverage,50,0.63,12.4,0.15,1.2,7.67,2,0.116,0.0,27.1,0.2,0.18
64134100,"Fruit smoothie, light",Smoothies drinks,Beverage,52,2.65,9.69,0.62,1.1,7.01,22,0.091,0.31,8.5,0.3,0.15
64134200,"Fruit smoothie, bottled",Smoothies drinks,Beverage,50,0.48,11.66,0.27,0.6,10.05,2,0.115,0.0,8.4,0.0,0.13
64201010,Apricot nectar,Fruit drinks,Beverage,56,0.17,13.63,0.45,0.1,12.79,16,0.037000000000000005,0.0,29.7,0.0,0.41
64203020,Guava nectar,Fruit drinks,Beverage,48,0.3,13.3,0.07,1.2,10.15,2,0.009000000000000001,0.0,21.3,0.0,0.06
64204010,Mango nectar,Fruit drinks,Beverage,51,0.11,13.12,0.06,0.3,12.45,35,0.015,0.0,15.2,0.0,0.21
64205010,Peach nectar,Fruit drinks,Beverage,49,0.1,11.61,0.57,0.1,12.08,16,0.037000000000000005,0.0,0.0,0.0,0.29
73105000,Beet juice,Fruit drinks,Beverage,25,0.72,5.91,0.06,1.1,4.84,1,0.05,0.0,2.5,0.0,0.03
73105010,"Carrot juice, 100%",Fruit drinks,Beverage,40,0.95,9.28,0.15,0.8,3.91,956,0.217,0.0,8.5,0.0,1.16
74302000,Tomato juice cocktail,Fruit drinks,Beverage,22,0.93,3.87,0.31,0.5,2.84,35,0.071,0.0,54.3,0.0,1.02
74303100,"Tomato and vegetable juice, 100%, low sodium",Fruit drinks,Beverage,22,0.6,4.59,0.1,0.8,3.28,78,0.14,0.0,27.7,0.0,0.32
75132000,Mixed vegetable juice,Fruit drinks,Beverage,27,0.82,6.12,0.16,1.2,2.62,489,0.146,0.0,5.8,0.0,0.72
75132100,Celery juice,Fruit drinks,Beverage,14,0.69,2.97,0.17,1.6,1.34,22,0.07400000000000001,0.0,3.1,0.0,0.27
75200700,Aloe vera juice drink,Fruit drinks,Beverage,15,0.0,3.75,0.0,0.0,3.75,0,0.0,0.0,3.8,0.0,0.0
78101000,"Vegetable and fruit juice, 100% juice, with high vitamin C",Fruit drinks,Beverage,46,0.3,11.15,0.01,0.0,10.37,36,0.016,0.0,28.5,0.0,0.87
78101100,"Fruit and vegetable smoothie, with dairy",Smoothies drinks,Beverage,60,1.7,13.22,0.61,1.4,7.86,88,0.202,0.11,16.7,0.3,0.42
78101115,"Fruit and vegetable smoothie, non-dairy",Smoothies drinks,Beverage,56,1.26,13.0,0.45,1.5,7.5,92,0.192,0.06,16.7,0.3,0.77
78101118,"Fruit and vegetable smoothie, non-dairy, added protein",Smoothies drinks,Beverage,79,7.18,12.48,0.53,1.6,6.92,85,0.224,0.24,15.4,0.3,0.71
78101120,"Fruit and vegetable smoothie, bottled",Smoothies drinks,Beverage,53,0.6,12.53,0.26,0.7,11.15,21,0.075,0.63,8.2,0.0,0.3
78101130,Vegetable smoothie,Smoothies drinks,Beverage,88,2.76,6.06,6.53,2.9,2.58,105,0.156,0.26,8.3,0.5,1.12
92306100,Corn beverage,Grain drinks,Beverage,44,0.84,9.4,0.21,0.5,0.19,1,0.019,0.0,0.0,0.0,0.01
92432000,"Fruit juice drink, citrus, carbonated",Fruit drinks,Beverage,31,0.46,6.88,0.31,0.2,6.1,4,0.011,0.0,25.7,0.0,0.16
92510610,Fruit juice drink,Fruit drinks,Beverage,10,0.0,2.5,0.0,0.0,2.5,0,0.0,0.0,0.0,0.0,0.0
92510720,"Fruit punch, made with fruit juice and soda",Fruit drinks,Beverage,44,0.18,10.82,0.06,0.1,9.44,0,0.05,0.0,5.0,0.0,0.01
